여주 하늘정원펜션,경기,경기 여주시 금사면 금품2로 870-98,,,,https://map.naver.com/v5/entry/place/1137276143?c=14193700.747836236%2C4490835.2216068525%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,,[],356282,529920
강릉 블루앤펫 애견동반펜션,강원,강원 강릉시 창해로350번길 25 블루앤펫,0505-356-9585,,http://xn--2s2bp8gr8gz1p.com,https://map.naver.com/v5/entry/place/1360568279?c=14350989.5332972%2C4550692.792710291%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,"반려동물, 바닷가, 해수욕장, 개별바비큐, 와이파이, 2인실, 침대방, 가족실, 온돌방, 바비큐장","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_287%2F1647846103181D6YgS_JPEG%2F9-1.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_36%2F1647846102590XnKw7_JPEG%2F1.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_121%2F1647846102877A5eMk_JPEG%2F9.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220722_23%2F1658467640901CTQkD_JPEG%2F1_%25282%2529.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_298%2F1647846103580EExEw_JPEG%2F10.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_251%2F1647846102347tV52z_JPEG%2F1-1.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_242%2F16478461024348lO8f_JPEG%2F02-1.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_79%2F1647846102815g0x3m_JPEG%2F5.jpg']",480967,577491
태안 맘모스 펜션,충남,충남 태안군 근흥면 연포1길 4,010-5473-2281,,http://mammothps.kr/,https://map.naver.com/v5/entry/place/1476760563?c=14049493.516488757%2C4396668.051459378%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,"2인실, 가족실, 반려동물, 바비큐장, 와이파이, 갯벌, 해수욕장","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_235%2F16197665264173xjRp_JPEG%2FksQHG6ayuZRhabmsfljq1hBb.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_195%2F1619766526060T2LJf_JPEG%2FC_baTeC8eOeAEQcDzUxcNW6R.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_32%2F1619766526048eWdTO_JPEG%2FEB1durbaCMXVEalq15RRp6DS.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_61%2F1619766526148PuUz9_JPEG%2F8yR4K4H58ExNmUHTVdBsJ0Od.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_271%2F1619766525996DCep1_JPEG%2F9zWFD5WYMCwhX9VKAdPlWSkl.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_66%2F1619766526098ev7tI_JPEG%2FV-ehHtknv3Jsv2pAjgMWKda0.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_191%2F1619766526129N6qGc_JPEG%2FS2ERfkpOzZCA0e3U1y2hutG9.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210430_120%2F1619766526374tlEjw_JPEG%2FpHvRLDtboz4yTtgSp3O1D_sW.jpg']",240126,456365
대천 라온펜션,충남,충남 보령시 고잠2길 12,041-934-5076,,http://www.laonpension.kr,https://map.naver.com/v5/entry/place/1954265732?c=14083722.256156843%2C4343541.689799687%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,"2인실, 침대방, 온돌방, 조식제공, 픽업, 바비큐장, 족구장, 해수욕장, 갯벌, 와이파이, 가족실, 단체, 복층","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200526_58%2F1590476180214s8WYf_JPEG%2FL9tkYL2gLG6xxTf2KcYwk_1O.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200526_250%2F1590476180265oLaRJ_JPEG%2FKsD_c6g_2s2zcBCwBgCZuRav.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200526_65%2F15904761800767N0Cl_JPEG%2F4tSaSSF-w0QYRkF9EaoFjPW_.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200526_55%2F1590476180127Kcf76_JPEG%2FjO-jxNPl_BfOVTf5Dj8xiJKD.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180129_3%2F1517187624069VCheO_PNG%2FOh6J_ZCdZF7oVN1trfD7fBQp.png', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180129_25%2F1517187931436sJcgC_JPEG%2FKzFZEUvipJNNRqVGCUjv5ksb.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180129_140%2F15171879535231oRPo_JPEG%2FyWpaBp6vyXqyFLlOgEx1wg6O.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180129_26%2F15171879769612GjOh_JPEG%2F5op51bdkpjfFwG5PxnEW19J4.jpg']",266949,413326
옥천 강변테라스,충북,충북 옥천군 이원면 용방1길 90,010-8201-8186,,,https://map.naver.com/v5/entry/place/1965571409?c=14208733.397831429%2C4336056.6517992895%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,,[],,
순천 노을펜션,전남,전남 순천시 별량면 일출길 322-6,0507-1425-8609,,https://sunset018.wixsite.com/my-site-2,https://map.naver.com/v5/entry/place/1351110013?c=14191599.147169549%2C4142617.9710795432%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,,"['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_9%2F1577696540804uelCW_JPEG%2F8OX5X0kgcyZhc5mxTTK2D_EM.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_200%2F1577696541273hydCW_JPEG%2FgBy21zP02iNcD8pMZjevcpMa.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_169%2F1577696542460lKJ4Y_JPEG%2FViyytBP7mHbtg0ASYt_c91KH.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_177%2F1577696543656bknfx_JPEG%2FRABiiQeb2dUu27TdUQ0-tOlF.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_236%2F1577696544480Kg5sa_JPEG%2FM9aFFAxW9cY13b6gy2cI7gsD.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_147%2F1577696544552I0x55_JPEG%2FPrmYFCtzVAoSL8gvyS7CY-kG.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_180%2F1577696544983wkDCI_JPEG%2FUJ_6XJhZdHVbffPqQJyAI2K8.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191230_45%2F1577696545563QOBN4_JPEG%2FVyyv85xoopbS1Poz0I0dIDDD.jpg']",353126,249571
가평 리스테이펜션,경기,경기 가평군 조종면 운악청계로371번길 98,0507-1332-1959,,http://www.restaypension.com/contents/main.html,https://map.naver.com/v5/entry/place/1264537502?c=14176288.086294878%2C4558585.142681226%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,"2인실, 가족실, 복층, 단체, 수영장","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_159%2F1657168682391sUDXV_JPEG%2F%25C0%25FC%25B0%25E62.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190719_247%2F15635146253982YSkI_JPEG%2FD8grcJKZQvP-ozzRby2Te93P.JPG.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_291%2F1657168711949V5kVk_JPEG%2F%25B9%25E6%25B0%25A1%25B7%25CE2.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_12%2F1657168717773We7gw_JPEG%2F%25BC%25F6%25BF%25B5%25C0%25E5.', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_25%2F1657168690787pLdnl_JPEG%2F%25B0%25E8%25B0%25EE.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_208%2F1657168702345Wlz7d_JPEG%2F%25B0%25E8%25B0%25EE2.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_99%2F1657168723000b7z7C_JPEG%2F%25C1%25B7%25B1%25B8%25C0%25E5.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_121%2F1657168707110FAiRd_JPEG%2F%25B9%25E6%25B0%25A1%25B7%25CE.jpg']",342799,583511
거제 바닐라펜션,경남,경남 거제시 동부면 학동3길 9,010-5838-3284,,http://www.vanillapension.com/,https://map.naver.com/v5/entry/place/19963928?c=14319952.156450707%2C4133142.8295028303%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,"바비큐장, 와이파이, 해수욕장, 복층, 개별바비큐, 침대방, 2인실, 가족실, 반려동물, 바닷가, 장기숙박, 선착순입장","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_137%2F1620037624019kalgH_JPEG%2Fvil0M9Wr7gPhu1kdkhB76Txx.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_206%2F1620037636635bU3Yv_JPEG%2FWpHs0Z8Z0UbV8_lGv4MAA08C.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_25%2F1620037636838qOiU0_JPEG%2FcMk-JiauzMBhPxOJma26SuSc.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_272%2F1620037664952zy1X4_JPEG%2FYCdAMw6ZteXDRJhIYDd4s77g.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_119%2F1620037665326COm2y_JPEG%2FZ4qF-dGcnmuvVJYLIaXKUvLh.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_117%2F1620037665517OUVHj_JPEG%2FxGbREC96jgS1uWeGW8Z_HkT6.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_120%2F1620037665962mjr8b_JPEG%2FtdcOLomtv7plx8ITuP7hsFbA.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_191%2F1620037692502YaGzI_JPEG%2FGE_9k-amP626ECZpc_LTCiev.jpg']",458623,241884
양양 글램독 애견펜션,강원,강원 양양군 현남면 화상천로 46,010-9397-2597,,https://site.onda.me/126265,https://map.naver.com/v5/entry/place/1344747366?c=14336579.158422116%2C4569176.772884797%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,"침대방, 가족실, 2인실, 반려동물, 바비큐장, 잔디, 온돌방, 단체, 수영장, 와이파이, 공용시설, 신축, 모던, 장기숙박, 해수욕장","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_279%2F1648101447123MBFra_JPEG%2F7.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_183%2F16481014466963xGcW_JPEG%2F0.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_8%2F1648101447001mFRDI_JPEG%2F1.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_216%2F1648101446531HMiUy_JPEG%2F2.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_113%2F1648101446807euEW2_JPEG%2F3.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_173%2F1648101446871J2rTI_JPEG%2F5.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_153%2F1648101446880SN60f_JPEG%2F6.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_175%2F1648101447408BWLaS_JPEG%2F8.jpg']",469444,591936
거제 에버그린과파인트리 애견동반펜션,경남,경남 거제시 일운면 거제대로 1494-12,0505-356-9692,,http://evergreenpinetree.kr/,https://map.naver.com/v5/entry/place/32686283?c=14322877.14253008%2C4135893.3890718594%2C13%2C0%2C0%2C0%2Cdh&placePath=%2Fhome&entry=plt,펜션,"반려동물, 바닷가, 해수욕장, 2인실, 가족실, 복층, 단체, 독채, 침대방, 바비큐장, 와이파이, 조식제공, 잔디, 온돌방, 선착순입장, 모던, 공용시설","['https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_150%2F1587373547420c8E04_JPEG%2F2vDrKPkQV3c_hMfZ4JM9ipkB.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_131%2F1587373545730ldghl_JPEG%2F3LZwYjca4f6tO7hexedCaoCy.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_144%2F1587373545911bWgsJ_JPEG%2FOA71OTHk6GwyLIp8BHvbyN6W.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_9%2F1587373546310YiE6a_JPEG%2FuY4QmdB4u5SFR_e_Sfgatjxn.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_282%2F1587373547887IIlXM_JPEG%2FgSEtoDtmhRV-T0obZoCmh2LU.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_151%2F1587373546013oABv8_JPEG%2FA8q5S8MqOq96G9k5Wwx47BuD.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_37%2F1587373545635o6Wbh_JPEG%2FbyL28OfsrNf-na-YHs7l-v4z.jpg', 'https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_105%2F1587373547427dn4EI_JPEG%2FDvjO6wWsNNWOo5CZt5g7z15g.jpg']",461013,244151
