바잇미 신사점,서울,서울특별시 강남구 신사동 525-22,,애견동반,"에스프레소 3,000 | 아메리카노 4,300 | 카페라떼 5,000 | 핫 에그케이크 5,000",매일 12:00~21:00,,,https://ldb-phinf.pstatic.net/20210803_217/1627973004435pNuqS_PNG/CserohKeV6MnY7msJuT48owv.png,313684,547165
카페드노보,서울,서울특별시 광진구 광장동 187-2 1층,0507-1368-1537,애견동반,"브라운 치즈 크로플 11,500 | 크로플 11,500 | 프랜치 토스트 15,000 | 감바스 알 아히오 17,500 | 크림 치킨 브리또 15,500 | 아보카도 에그 베네딕트 15,000 | 연어 아보카도 샐러드 14,500 | 통 베이컨 시져 샐러드 13,500 | 리코타 치즈 샐러드 12,000 | 노보 스테이크 23,000 | 찹스테이크 23,000 | 치킨 스테이크 18,000 | 해물 로제 떡볶이 18,500 | 미트 토마토 피자 18,000 | 페퍼로니 피자 18,000 | 고르곤졸라 피자 18,000 | 샐러드 피자 18,000 | 볼로네제 파스타 16,000 | 비프오일 파스타 16,500 | 차돌시금치 파스타 16,500 | 게살 로제 파스타 16,500 | 비프고르곤 크림 파스타 17,500 | 새우크림 파스타 17,500 | 해물 파스타(토마토,오일,크림) 18,500",목요일 11:00~21:30 브레이크타임 16:30~17:00 | 수요일 11:00~21:30 브레이크타임 16:30~17:00 | 화요일 11:00~21:30 브레이크타임 16:30~17:00 | 월요일 11:00~21:30 브레이크타임 16:30~17:00 | 일요일 11:00~21:30 브레이크타임 16:30~17:00 | 토요일 11:00~22:00 브레이크타임 16:30~17:00 | 금요일 11:00~22:00 브레이크타임 16:30~17:00,,"정원이 있는 단독주택을 개조하여 만든 카페드노보는 다양한 컨셉의 공간을 갖추고 있으며
양옥과 한옥의 조화가 잘 어울어진 공간입니다
넓은 정원이 있어 애견동반과 아이들과도 함께
시간을 보내기 좋습니다
커피를 기본으로 각종 음료와 디져트도 준비 되어있으며 전문 쉐프가 만드는 브런치 메뉴도 있습니다",https://ldb-phinf.pstatic.net/20200603_26/1591190177360hnChR_JPEG/sahOoQgqFVJ4ZhgI2WiIQ6Na.jpg,321475,549928
카페 아리네,서울,서울특별시 양천구 목동 406-114 카페 아리네,,애견동반,"아메리카노 4,500 | 카페라떼 5,000 | 수제 바닐라라떼 5,500 | 카라멜라떼 5,500 | 슈크림라떼 (ice only) 7,000 | 아인슈페너 (ice only) 6,500 | 아포카토 6,500 | 베리에이드 6,000 | 청포도에이드 6,000 | 르뱅초코쿠키 3,000 | 생과일타르트 7,000 | 아이스크림 크로플 7,200 | 블루베리 요거트 아이스크림 케이크 6,500 | 자몽티 5,500 | 레몬티 5,500 | 레몬에이드 6,000 | 자몽에이드 6,000 | 초코라떼 5,500 | 그린티라떼 5,500 | 로얄 밀크티 5,500 | 얼그레이 밀크티 5,500 | 루이보스 밀크티 5,500 | 망고멜랑 (Tea bag) 4,000 | 섬머피치 (Tea bag) 4,000 | 쿨민트 (Tea bag) 4,000 | 로얄 캐모마일 (Tea bag) 4,000 | 스위트 레몬그라스 (Tea bag) 4,000 | 호두파이 5,500 | 뉴욕치즈케이크 6,000 | 단호박타르트 6,500 | 초코타르트 6,500 | 티라미슈 7,500 | 프렌치토스트 16,000 | 호지믹스라떼 5,500 | 바질토마토샌드위치 7,000 | 피칸파이 6,000 | 자몽허니블랙티 6,000 | 플레인 스콘 & 수제 블루베리 잼 3,500",평일 11:00~23:00 | 주말 12:00~23:00,https://instagram.com/cafe_arine_official?igshid=7omabrzc96h4,"골든 리트리버 사장님 '아리' 가 운영하는 아리네 카페입니다^^
타르트, 쿠키, 케이크, 청 모두 수제로 만들어 기성품과 다른, 안전하고 깊이 있는 맛을 추구합니다.

1층은 반려견 동반 가능하며, 반려견 동반시 리드줄을 짧게 잡아 옆에 두시거나 품에 안고 계시기를 부탁드립니다. (2층, 3층은 반려견 동반 불가)
5대 맹견 및 맹견의 하이브리드 견종 입장 불가
대형견 환영

애연가 분들을 위한 흡연석/흡연실 별도의 공간으로 준비되어있습니다.
주차 불가합니다 (도보 5분거리에 공영주차장이 있습니다)

브런치 상시 가능 (오픈-21:00시 까지)

타르트/디저트 홀케이크 및 대량 예약 구매 가능(자세한 사항은 전화문의 부탁드립니다)

불편하신 사항이 있으시다면 꼭 매장으로 연락주시거나, 직원분들에게 말씀해주세요!
항상 노력하는 아리네가 되겠습니다

아리네를 찾아주셔서 감사합니다",https://ldb-phinf.pstatic.net/20210412_256/1618224887710xsGvM_JPEG/yfmjdR4T9Yske0dq1x8PASij.jpg,300557,547622
헤이더그린,서울,서울특별시 강서구 오쇠동 115-11,0507-1333-6512,애견동반,"시그니처크림커피 8,500 | 아메리카노 6,500 | 카페라떼 7,500 | 카푸치노 7,500 | 카페모카 8,000 | 바닐라라떼 8,000 | 카라멜마끼아또 8,000 | 연유라떼 8,000 | 토피넛라떼 8,000 | 초코라떼 8,000 | 수제자몽청 8,000 | 수제 자몽에이드 8,500 | 수제 레몬에이드 8,500 | 에그베이컨오픈토스트 9,500 | 바질리코타오픈토스트 11,500 | 리코타치즈 샐러드 13,900 | 떡볶이 8,500 | 군고구마 M 3,000 | 로제떡볶이 9,500 | 면역력증강(멍푸치노세트) 8,500 | 면역력증강(멍푸치노단품) 5,500 | 최상의영양발란스세트 8,000 | 최상의영양발란스단품 5,000",매일 11:00~21:00 10/6 임시휴무,https://instagram.com/hey_the_green?utm_medium=copy_link,도심 속 정원 야외카페 'Hey the green',https://ldb-phinf.pstatic.net/20210915_1/1631694850214e7iAv_JPEG/cUSF6jFYhbgY5GIuZW2qsXDj.jpg,293652,549503
무네,경기,경기도 평택시 비전동 1038-1 102호,,애견동반,,,,"평택 옷가게 입니다:)
www.mu-ne.com
여성복+남성복 데일리하게 즐기기 좋아요' 0'",https://ldb-phinf.pstatic.net/20220531_48/1653975973975lc8E8_JPEG/%A4%BB%A4%BB.jpg,308675,555509
인솔커피 상수점,서울,서울특별시 마포구 상수동 330-17 1층 인솔커피 상수점,,애견동반,"Insole Latte (인솔라떼) 5,500 | In Summer Latte (인썸머라떼) 7,000 | Americano (아메리카노) 4,500 | Puppy Latte (퍼피라떼) 3,500 | 인솔 파운드 케이크 박스 20,000 | 인솔 쿠키 박스 12,000",월요일 11:00~21:00 | 화요일 11:00~21:00 | 수요일 11:00~21:00 | 목요일 11:00~21:00 | 금요일 11:00~23:00 | 토요일 11:00~23:00 | 일요일 11:00~21:00,http://www.insolecoffee.com,"당신의 발걸음에 힘이 되고픈, 인솔커피 상수점입니다.
로스팅도, 베이킹도 매일 직접 하고 있습니다.
네이버 스마트 스토어(인솔커피)를 이용하여 베이커리 및 원두 구매 가능합니다:)",https://ldb-phinf.pstatic.net/20201110_181/1605005441517v380w_JPEG/rpKpvFwjk4ZNfYffM5QR__5t.jpg,305078,549982
카페프레임,서울,서울특별시 관악구 봉천동 1626-1 지하1층,0507-1447-1017,애견동반,"Frame No.1 5,000 | Frame No.2 6,000",매일 12:00~22:00,http://www.instagram.com/cafeframe_,"카페 프레임은 찾아주신 분들 각자 자신만의 프레임을 통해 이 공간을 느끼고 향유하자는 마음이 담긴 공간입니다.
넓은 공간과 여백이 주는 편안함이 있고 프레임만의 독특한 배치와 구조로 변화를 주었습니다.

시그니처 메뉴는 프레임 커피와 카페사이공입니다.
시그니처 메뉴는 섞지 않고 그대로 드시는 것을 추천 드리며,
맛의 변화를 천천히 즐기시면서 드시길 권합니다! :)

프레임을 찾아주신 모든 분들 감사합니다!

관악구 봉천동 '카페 프레임' @cafeframe_

대관문의 : 070-4201-1001 / @cafeframe_",https://ldb-phinf.pstatic.net/20211123_231/1637644397827sKGXa_JPEG/KakaoTalk_20211123_134828561.jpg,307998,542265
히든테이블,기타,충청남도 천안시 동남구 신부동 464-6 2층 히든테이블,0507-1350-9973,애견동반,"뼈등심 스테이크(400g) 18,000",일요일 12:00~22:00 15:30~17:00 Break Time | 토요일 12:00~22:00 15:30~17:00 Break Time | 금요일 12:00~22:00 15:30~17:00 Break Time | 목요일 12:00~22:00 15:30~17:00 Break Time | 수요일 12:00~22:00 15:30~17:00 Break Time | 화요일 12:00~22:00 15:30~17:00 Break Time | 월요일 00:00~23:59 매 주 월요일은 쉽니다.,https://hidden7able.modoo.at,"저렴한 식재료보단 기본기는 지키는 장소 히든테이블 입니다.

히든스타일의 '치킨덕 투움바' 시그니처 메뉴입니다.

모든 스테이크는 숙성을 걸쳐 수비드 후 제공됩니다.

-P.s 종종 유튜브 이벤트도 진행 예정인 유튜버가 운영하는 장소-",https://ldb-phinf.pstatic.net/20191216_90/1576497759733k66Es_JPEG/P6KZOWhqiN7xD8PdeE_IRwW-.jpg,324000,536771
네이버후드,기타,경상남도 창원시 마산합포구 해운동 5-83,0507-1432-0181,애견동반,"아메리카노 3,500 | 라떼 4,000 | 밀크티 5,000 | 스콘 4,500 | 애플시나몬 스콘 4,000 | 솔티 카라멜 스콘 4,000 | 애플크럼블 4,000 | 달콤한 라떼 4,500 | 네이버후드 커피 5,500",매일 11:00~23:00,http://www.instagram.com/cafe.neighbourhood/,,https://ldb-phinf.pstatic.net/20180211_74/15183528593379mUwv_JPEG/2H6htpUEgMC9fXiIelNJ1I7I.jpeg.jpg,306058,551204
미미에토,서울,서울특별시 서대문구 연희동 81-19,,애견동반,"아메리카노 변동가격(업주문의) | 카페라테 변동가격(업주문의) | 카푸치노 변동가격(업주문의) | 카라멜라떼 6,000 | 카페모카 6,000 | 얼그레이 5,000 | 자스민 5,000 | 유자차 5,000 | 복숭아아이스티 5,000 | 핑크레몬에이드/애플주스 4,000 | 초코라떼 5,500 | 유자/자몽에이드 5,500 | 쿠키앤크림 블렌디드 6,500 | 요거트스무디 플레인/블루베리/스트로베리 6,500 | 햄치즈토스트+아메리카노 5,500 | 햄치즈토스트 2,800 | 카야토스트 5,000 | 연희짜장 컵케잌 6,500 | 허니 치즈 케잌 6,500 | 레드벨벳케잌 6,500 | 쇼콜라케잌 6,800 | 수제 닭가슴살 야채 소세지 3,000 | 소고기 미역죽 3,000 | 아라자임&자일라나제 1,000 | 당나귀육수 3,500 | CBD 오일 10,000",매일 11:30~22:00 코로나 기간 임시 운영시간 | 주말 11:30~22:00,,"미미에토는 펫 동반 입장이 가능한 카페이며 우리나라에서 유일하게 품질 좋은 펫 CBD 오일을 판매하고 있으며 직접 카페에서 반려 동물에게 먹일 수 있도록 토핑 형태로 제공도 가능합니다.  맛 좋은 커피와 함께 유명 전시회를 즐길 수 있는 문화 컨텐츠 공간을 제공합니다.
참고로 유명 연예인들이 자주 출몰한답니다^^",https://ldb-phinf.pstatic.net/20200507_83/1588828535271c1VRI_JPEG/iqPWxdKdo9krESQhKaL4KRBI.jpeg.jpg,306034,552652
