노을공원,서울,"""강아지동반 산책 가능합니다 골프장을 산책하는기분입니다 하지만 진드기많아요"""
서울숲공원,서울,"""애견동반 가능하고 산책하기에 아주 좋음"""
헤세의 정원,서울,"""애견동반은 밖에만가능해서 더운데"""
평화의광장,서울,"""즐기기에 아낌 없다~~ 운동, 산책(애견동반), 소풍, 촬영 ..."""
그랜드유원지,서울,"""강아지 동반해서 아이들과 갔어요~ 비가 많이 오지 않아 ..."""
청풍호반 케이블카 물태리역,충북,"""그럭저럭 가볼만해요.캐이지로 애견동반 가능해요."""
문암생태공원,충북,"""아이동반 산책하기 좋고 애견동반도(현재 애견장 폐쇄) 가능해요."""
팔당 물안개공원,경기,"""강아지동반가능한 최고의 공원"""
평강랜드,경기,"""좋아요 반려견도 동반되고 아이들과 함께 즐길거리도 많구요"""
율동공원,경기,"""애견동반하여 산책하기 참좋아여."""
포천아트밸리,경기,"""봄가을에 이용하기 좋아요 애견 동반이 가능합니다"""
프렌쥬랜드,인천,"""... 느낌적인 느낌이라 좋앗고ㅋㅋㅋㅋ강아지 동반가능인게 매우 좋았 ..."""
인천대공원 어린이동물원,인천,"""어린이를 동반하기좋고 재미있습니다."""
송도 센트럴파크,인천,"""반려견 동반 산책길 좋아요"""
간현관광지,강원,"""출렁다리만 안가면 애완견 동반 산책 가능합니다"""
남이섬,강원,"""애견동반 해서 힐링하기 딱 좋았어요~"""
강촌레일파크 경강레일바이크,강원,"""직원분 친절하시고.. 레일바이크 애견동반이 있어 좋았습니다"""
휴휴암,강원,"""강아지도 동반해서 들어갈수있습니다"""
허균·허난설헌 기념공원,강원,"""애견동반 불가로 주변만 둘러보고 옴."""
신정호국민관광지,충남,"""뛰놀기 좋고 애견동반 가능."""
부여서동요역사관광지,충남,"""... 수 있는 곳 등 사진 스팟들이 있고 강아지 동반이 가능해서 좋았어요"""
신정호유원지,충남,"""애견동반 나들이로 최고입니다"""
삽교호함상공원,충남,"""아이들 동반 가족 산책으로 베스트."""
계룡산국립공원 수통골지구,대전,"""산책하기 넘 좋아요.^^ 단, 입구부터 애견동반 불가입니다."""
대전오월드,대전,"""유소아 동반 여행지로 좋아요."""
그루그루,대전,"""애견동반식당으론 좋음 맛은 그냥저냥"""
캠프향기,대전,"""깨끗하고 경치 좋고 공간 넓고 애견동반 가능이라 넘넘 좋아요"""
문화농원,대전,"""대전가서 애견 동반가능 식당검색으로 가본^^"""
송암스페이스센터,세종,"""아이를 동반한 가족이 많았고, 아이들 교육으로도 좋을것 같아요"""
전주 한옥마을,전북,"""애견동반 식당과 카페가 많아 편했음"""
선운사(禪雲寺),전북,"""강아지 동반 가능하나 경내 출입은 불가하다."""
임실치즈테마파크,전북,"""무료입장에 애견동반 가능입니다."""
메타세쿼이아가로수길,전남,"""... 친구들과 함께 방문하거나 아이들과 동반하기에도 적합하다"""
5.18자유공원,전남,"""자녀와 동반 권유 합니다. 주변에 먹자골목도 있어서 좋습니다."""
조례호수공원,전남,"""... 하구요 애와견 동반가능합니다"""
송산유원지,전남,"""유아동반이딱입니다.강가라서애들과놀기에정말좋습니다.오리보트타 ..."""
소쇄원 (瀟灑園),전남,"""아담한관광지 유모차끌고는 구경 못하지만 애견동반이라좋아요"""
서울대공원,서울,"""강아지들이랑 산책을하는데 벚꽃이 너무 예쁘고 사진찍기도 너무 좋아요"""
올림픽공원,서울,"""워낙 유명하죠 강아지 산책시키기 좋아요"""
경의선숲길공원,서울,"""강아지가 뛰어놀기 좋은곳같아요.비만 안왔으면 더 좋았을거같아요"""
월드컵공원,서울,"""강아지와 산책하기 좋은곳"""
낙산공원,서울,"""강아지델구 산책하기 좋아요"""
석촌호수공원,서울,"""운동하는분들이 많은게 조금 아쉽지만 강아지랑 놀기좋아요"""
용산가족공원,서울,"""강아지 산책 시키기도 안성맞춤입니다"""
북악팔각정,서울,"""이른 새벽 제 강아지 보리와 산책가는 코스입니다."""
서서울호수공원,서울,"""강아지 데리고 산책하기 좋아요"""
푸른수목원,서울,"""강아지랑 산책 하기 좋은곳 ^~^"""
서울창포원,서울,"""종종 강아지들과 산책."""
여의도공원,서울,"""강아지산책하기 너무 좋은곳"""
몽마르뜨공원,서울,"""강아지와 산책하기 이보다 좋은곳 있을까 싶네요"""
서울식물원,서울,"""강아지 데리고 산책 가기 좋아요"""
월암근린공원,서울,"""강아지산책시키러 가기 좋아요. 깨끗하고 언덕이 좋아요."""
북서울 꿈의숲,서울,"""강아지랑 산책하기 너무 좋아요!"""
백사실계곡,서울,"""강아지 산책시키기 좋고, 서울속 명품자연을 느낄수있어요"""
양재시민의숲,서울,"""강아지 산책하기 너무 좋은곳"""
아차산 생태공원,서울,"""공기도 좋고 강아지동반도 가능해서 좋아요"""
구암근린공원,서울,"""강아지 산책길도 좋다."""
남산공원 백범광장,서울,"""강아지출입가능해서 좋고 조경 예쁘고 깨끗함"""
흑석동공원,서울,"""강아지와 산책하기 너무 좋아요~"""
