무네,서울,"""개, 고양이 동반 가능 화장실도 깨끗하고 정리정돈도 열심이다."""
퍼피커피,서울,"""퍼피커피는 구로구민회관 뒷편에 있는 애견동반카페입니다."""
바잇미 신사점,서울,"""동물농장에도 나온만큼 상당히 유명한 강남의 애견동반카페."""
인솔커피 상수점,서울,"""애견동반 가능. 베이커리 다양. 케이크 맛있음. 커피는 더맛있음."""
카페드노보,서울,"""애견동반이 가능한 카페."""
슬로우포레스트,서울,"""... 주차는 조금 불편하지만 애견 동반 가능하고 사진 찍기 좋은 카페"""
카페아리네,서울,"""1층은 애견동반 ㅎㅎ 브런치 30분 걸려 ㅋㅋ 맛은 나쁘지 않음"""
헤이더그린,서울,"""강아지 동반가능카페 넓고 주중엔 여유로움"""
앵두나무 카페,서울,"""애견동반 산책하기 좋은 곳"""
카페프레임 (cafeframe),서울,"""애견동반 가능. 와플 맛있음... 가격대 좀 높은편. 공부하기 좋은 책상."""
풀스트릿,서울,"""강아지 동반가능해서 좋아요."""
메이킷카페,서울,"""애견 동반 가능한 카페로 애견 용품도 팔고 애견 전용 음료도 있었어요."""
유일라운지카페,서울,"""애견동반 가능한곳 메뉴에 없는줄 알았던 차 있었네요ㅎㅎ ㅡㅡㅡㅡㅡ ..."""
로즈드마이,서울,"""애견동반 가능한 카페이고 샌드위치가 엄청 빵빵합니다"""
히든테이블,서울,"""애견동반 가능에 넓은 정원도 있습니다"""
네이버후드,서울,"""1층에 한해서 애견동반도 가능하다고 한다."""
포니테일 pawnytail cafe & shop,서울,"""바닐라 라떼가 맛있는 애견동반 카페 겸 애견용품 판매점입니다."""
어라운드데이,서울,"""애견 동반 카페라 가끔 보이는 댕댕이들도 너무귀여워요 ㅎㅎ"""
쓰리버즈 IFC점,서울,"""애견동반해서 IFC몰에 오는 사람들에겐 아주 좋은 맛집인거 같아요"""
홀드더도어,서울,"""애견동반이라 애기들 데려가셔도 됩니다.사장님도 친절하시고 전 ..."""
플란츠앤플라,서울,"""그리고 애견 동반이 가능하다."""
카페스토리,서울,"""애견동반시 애견 운동장이 있어서 좋은데 사람이 앉을 자리는 불편함."""
스태픽스,서울,"""반려견동반카페라 반려견과 같이 오실분들은 좋을것같습니다."""
써머레인,서울,"""애견 동반은 좋으나 너무 시끄러움 음식은 가격에 비해 별로"""
할리스커피 공덕경의선숲길점,서울,"""넓고 애견 동반 공간이 있어서 좋음"""
카페스토리,경기,"""애견동반가능 너무좋아요"""
코코밸리더하우스,경기,"""애견동반가능.수영장.실외놀이터.깨끗한목욕시설"""
어반플레이스,경기,"""애견동반가능한 야외라서 좋음"""
달달이,경기,"""애견동반이라서 찾아가봤습니다."""
엠블럭,경기,"""애견 동반 가능해요. 크로플이 동네에서는 이 가격에 팔면 안될 듯한 ..."""
몽쥬이에,경기,"""옆에 계곡도 있고 야외자리가 많아요 애견동반 가능하고 디저트 메뉴도 ..."""
카페돌체네,경기,"""빙수맛집인듯 ...젊은사장님이계시고 애견동반가능하다네요"""
어반밸리,경기,"""애견동반 가능식당 부대찌게 맛나네요."""
원보틀 (One Bottle),경기,"""애견동반 가능 생각보다 테이블이 적당"""
카페모안,경기,"""애견동반인데 분위기가 조용하고 좋았습니다 커피맛도좋구요~~"""
아띠375,경기,"""... 엔 당나귀도있어요 야외테이블에 애견동반 가능 공간도있어요"""
엠아르,경기,"""애견동반카페~~~목줄착용하고 있어야 하지만 동반이라 넘 좋았습니다!"""
봉봉애견카페,경기,"""봉봉은 남양주에 있는 애견동반카페입니다."""
