카페무네,서울,서울특별시 종로구 부암동 143-1,,애견동반,"""개, 고양이 동반 가능 화장실도 깨끗하고 정리정돈도 열심이다.""","아메리카노 4,500 | 카페라떼 5,000 | 바닐라라떼 5,500 | 아몬드라떼 6,000 | 계절 생과일주스 7,000 | 유기농앙버터 토스트 5,000 | 더블치즈베이컨 토스트 6,500",매일 11:00~21:00 정기휴무 없음 / 휴무시 인스타그램 공지,https://www.instagram.com/cafe_mune,"고양이 상수상무님이 있는 부암동 카페무네입니다. 
가족같은 반려동물과 커피 한 잔 하시면서 쉬어 가세요.  
공간이 구분되어 있어 동물없는 공간에서의 티타임도 가능합니다.
편안하고 따듯한 햇살맛집에서 인생사진도 찍으시고요.
아몬드라떼와 미숫가루라떼, 특히 생과일주스가 진짜 맛있습니다.
아, 커피집이니 만큼 커피류도 빼놓을 수 없어요. (결론은 다 맛있네요 :-)
과테말라 원두와 케냐 원두를 블렌딩한 카페무네 원두의 풍미를 맛보러 오세요.",https://ldb-phinf.pstatic.net/20220809_243/1659989484815mGBxU_JPEG/20220804_155458.jpg,308675,555509
퍼피커피,서울,서울특별시 성동구 홍익동 406 1층,0507-1469-0779,애견동반,"""퍼피커피는 구로구민회관 뒷편에 있는 애견동반카페입니다.""","아메리카노 5,000 | 초코라떼 7,000 | 인절미팥빙수(시즌메뉴) 13,000 | 애플망고빙수(시즌메뉴) 15,000 | 퍼푸치노 3,000",매일 11:00~22:00 연중무휴,https://puppycoffee.tenclove.com,"테라스 및 실내에 반려견 동반이 가능한 왕십리 카페 퍼피커피 입니다 :) 애견의류 및 용품, 간식, 사료 등 판매하고 있으니 많은 관심과 이용 부탁드립니다! 예쁜 카페 퍼피커피에서 인생 샷, 견생 샷도 남기고 맛 좋은 커피도 한잔하러 오세요:) ",https://ldb-phinf.pstatic.net/20191215_50/1576419452277gNTk4_JPEG/_SNkDZxpGmcgF6qTNF_MV-XQ.jpg,314531,552021
바잇미 신사점,서울,서울특별시 강남구 신사동 525-22,,애견동반,"""동물농장에도 나온만큼 상당히 유명한 강남의 애견동반카페.""","에스프레소 3,000 | 아메리카노 4,300 | 카페라떼 5,000 | 핫 에그케이크 5,000",매일 12:00~21:00,,,https://ldb-phinf.pstatic.net/20210803_217/1627973004435pNuqS_PNG/CserohKeV6MnY7msJuT48owv.png,313684,547165
인솔커피 상수점,서울,서울특별시 마포구 상수동 330-17 1층 인솔커피 상수점,,애견동반,"""애견동반 가능. 베이커리 다양. 케이크 맛있음. 커피는 더맛있음.""","Insole Latte (인솔라떼) 5,500 | In Summer Latte (인썸머라떼) 7,000 | Americano (아메리카노) 4,500 | Puppy Latte (퍼피라떼) 3,500 | 인솔 파운드 케이크 박스 20,000 | 인솔 쿠키 박스 12,000",월요일 11:00~21:00 | 화요일 11:00~21:00 | 수요일 11:00~21:00 | 목요일 11:00~21:00 | 금요일 11:00~23:00 | 토요일 11:00~23:00 | 일요일 11:00~21:00,http://www.insolecoffee.com,"당신의 발걸음에 힘이 되고픈, 인솔커피 상수점입니다.
로스팅도, 베이킹도 매일 직접 하고 있습니다.
네이버 스마트 스토어(인솔커피)를 이용하여 베이커리 및 원두 구매 가능합니다:)",https://ldb-phinf.pstatic.net/20201110_181/1605005441517v380w_JPEG/rpKpvFwjk4ZNfYffM5QR__5t.jpg,305078,549982
카페 아리네,서울,서울특별시 양천구 목동 406-114 카페 아리네,,애견동반,"""1층은 애견동반 ㅎㅎ 브런치 30분 걸려 ㅋㅋ 맛은 나쁘지 않음""","아메리카노 4,500 | 카페라떼 5,000 | 수제 바닐라라떼 5,500 | 카라멜라떼 5,500 | 슈크림라떼 (ice only) 7,000 | 아인슈페너 (ice only) 6,500 | 아포카토 6,500 | 베리에이드 6,000 | 청포도에이드 6,000 | 르뱅초코쿠키 3,000 | 생과일타르트 7,000 | 아이스크림 크로플 7,200 | 블루베리 요거트 아이스크림 케이크 6,500 | 자몽티 5,500 | 레몬티 5,500 | 레몬에이드 6,000 | 자몽에이드 6,000 | 초코라떼 5,500 | 그린티라떼 5,500 | 로얄 밀크티 5,500 | 얼그레이 밀크티 5,500 | 루이보스 밀크티 5,500 | 망고멜랑 (Tea bag) 4,000 | 섬머피치 (Tea bag) 4,000 | 쿨민트 (Tea bag) 4,000 | 로얄 캐모마일 (Tea bag) 4,000 | 스위트 레몬그라스 (Tea bag) 4,000 | 호두파이 5,500 | 뉴욕치즈케이크 6,000 | 단호박타르트 6,500 | 초코타르트 6,500 | 티라미슈 7,500 | 프렌치토스트 16,000 | 호지믹스라떼 5,500 | 바질토마토샌드위치 7,000 | 피칸파이 6,000 | 자몽허니블랙티 6,000 | 플레인 스콘 & 수제 블루베리 잼 3,500",평일 11:00~23:00 | 주말 12:00~23:00,https://instagram.com/cafe_arine_official?igshid=7omabrzc96h4,"골든 리트리버 사장님 '아리' 가 운영하는 아리네 카페입니다^^
타르트, 쿠키, 케이크, 청 모두 수제로 만들어 기성품과 다른, 안전하고 깊이 있는 맛을 추구합니다.

1층은 반려견 동반 가능하며, 반려견 동반시 리드줄을 짧게 잡아 옆에 두시거나 품에 안고 계시기를 부탁드립니다. (2층, 3층은 반려견 동반 불가)
5대 맹견 및 맹견의 하이브리드 견종 입장 불가
대형견 환영

애연가 분들을 위한 흡연석/흡연실 별도의 공간으로 준비되어있습니다.
주차 불가합니다 (도보 5분거리에 공영주차장이 있습니다)

브런치 상시 가능 (오픈-21:00시 까지)

타르트/디저트 홀케이크 및 대량 예약 구매 가능(자세한 사항은 전화문의 부탁드립니다)

불편하신 사항이 있으시다면 꼭 매장으로 연락주시거나, 직원분들에게 말씀해주세요!
항상 노력하는 아리네가 되겠습니다

아리네를 찾아주셔서 감사합니다",https://ldb-phinf.pstatic.net/20210412_256/1618224887710xsGvM_JPEG/yfmjdR4T9Yske0dq1x8PASij.jpg,300557,547622
헤이더그린,서울,서울특별시 강서구 오쇠동 115-11,0507-1333-6512,애견동반,"""강아지 동반가능카페 넓고 주중엔 여유로움""","시그니처크림커피 8,500 | 아메리카노 6,500 | 카페라떼 7,500 | 카푸치노 7,500 | 카페모카 8,000 | 바닐라라떼 8,000 | 카라멜마끼아또 8,000 | 연유라떼 8,000 | 토피넛라떼 8,000 | 초코라떼 8,000 | 수제자몽청 8,000 | 수제 자몽에이드 8,500 | 수제 레몬에이드 8,500 | 에그베이컨오픈토스트 9,500 | 바질리코타오픈토스트 11,500 | 리코타치즈 샐러드 13,900 | 떡볶이 8,500 | 군고구마 M 3,000 | 로제떡볶이 9,500 | 면역력증강(멍푸치노세트) 8,500 | 면역력증강(멍푸치노단품) 5,500 | 최상의영양발란스세트 8,000 | 최상의영양발란스단품 5,000",매일 11:00~21:00 10/6 임시휴무,https://instagram.com/hey_the_green?utm_medium=copy_link,도심 속 정원 야외카페 'Hey the green',https://ldb-phinf.pstatic.net/20210915_1/1631694850214e7iAv_JPEG/cUSF6jFYhbgY5GIuZW2qsXDj.jpg,293652,549503
앵두나무카페,서울,서울특별시 강북구 번동 526-83,,애견동반,"""애견동반 산책하기 좋은 곳""","에소프레소 2,500 | 아메리카노 4,000 | 카페라떼 4,500 | 카페모카 5,000 | 카푸치노 5,000 | 카라멜마끼아또 5,000 | 바닐라라떼 5,000 | 고구마라떼 5,000 | 녹차라떼 5,000 | 초코라떼 5,000 | 썸머라떼 5,500 | 레몬에이드 5,000 | 블루레몬에이드 5,000 | 자몽에이드 5,000 | 석류에이드 5,000 | 망고스무디 5,000 | 딸기스무디 5,000 | 블루베리스무디 5,000 | 밀크쉐이크 5,000 | 콜라 2,500 | 사이다 2,500 | 유자차 4,000 | 레몬차 4,000 | 대추차 4,000 | 메실차 4,000 | 석류차 4,000 | 카모마일 4,000 | 페퍼민트 4,000 | 루이보스 4,000 | 치즈버거 7,500 | 시그니처 9,000 | 베이컨 9,500 | 에그베이컨 10,000 | 더블더블 11,000 | 감자튀김 3,000 | 허니브레드 7,000 | 페스츄리 7,000 | 소불고기볶음밥 8,000 | 참치김치볶음밥 8,000 | 새우볶음밥 8,000 | 치킨볶음밥 8,000 | 토마토스파게티 8,500 | 크림스파게티 8,500 | 로제스파게티 8,500 | 떡뽁이 10,000",평일 11:00~20:00 | 토요일 11:00~20:00 | 일요일 휴무,http://instagram.com/aengdunamu_cafe,"1.일반인, 애견 동반 가능한 카페입니다
(애견카페 아니에요)
2.리드줄은 주문 후 풀어주세요
3.1인 1읍료 부탁드려요
4. 대형견은  리드줄 필수(맹견 출입 불가)
5.심한 짖음,  공격성 있는 반려견 리드줄 필수
6.실내 이용시 반려견을 안고 계시거나 매너벨트 착용 후 리드줄은 짧게 부탁드려요
7.어린이는 보호자께서 케어 부탁드려요
(강아지는 견주님 허락 후 만지기, 뛰거나 소리 지르지 않기)
8.외부음식 반입금지
9.견주님께서는 반려견을 항상 지켜봐주세요",https://ldb-phinf.pstatic.net/20180725_154/1532524772786Q6HvW_JPEG/PxjcARHFqj2m7TrVaRiLFZI4.jpg,314568,559430
카페프레임,서울,서울특별시 관악구 봉천동 1626-1 지하1층,0507-1447-1017,애견동반,"""애견동반 가능. 와플 맛있음... 가격대 좀 높은편. 공부하기 좋은 책상.""","Frame No.1 5,000 | Frame No.2 6,000",매일 12:00~22:00,http://www.instagram.com/cafeframe_,"카페 프레임은 찾아주신 분들 각자 자신만의 프레임을 통해 이 공간을 느끼고 향유하자는 마음이 담긴 공간입니다.
넓은 공간과 여백이 주는 편안함이 있고 프레임만의 독특한 배치와 구조로 변화를 주었습니다.

시그니처 메뉴는 프레임 커피와 카페사이공입니다.
시그니처 메뉴는 섞지 않고 그대로 드시는 것을 추천 드리며,
맛의 변화를 천천히 즐기시면서 드시길 권합니다! :)

프레임을 찾아주신 모든 분들 감사합니다!

관악구 봉천동 '카페 프레임' @cafeframe_

대관문의 : 070-4201-1001 / @cafeframe_",https://ldb-phinf.pstatic.net/20211123_231/1637644397827sKGXa_JPEG/KakaoTalk_20211123_134828561.jpg,307998,542265
메이킷 카페,서울,서울특별시 강남구 삼성동 127-9,,애견동반,"""애견 동반 가능한 카페로 애견 용품도 팔고 애견 전용 음료도 있었어요.""","아메리카노 3,800 | 카페라떼 4,500 | 바닐라라떼 5,000 | 카페모카 5,000 | 메이킷크림라떼 6,000 | 퍼푸치노세트 3,500 | 당근케이크 6,500",평일 12:00~21:00 | 토요일 12:00~18:00,http://makemakit.com,"메이킷 쇼룸과 카페를 함께 운영하는 공간입니다. 메이킷 제품 구매 또는 카페 이용, 케이크 주문 및 픽업 가능합니다. 

* 반려동물 동반 가능(목줄필수)
8/14(일)-8/21(일)하계 휴가 일정으로 방문 및 상담이 운영되지 않는 점 양해 부탁드립니다.",https://ldb-phinf.pstatic.net/20220725_139/1658756293945RtkMx_JPEG/m7v1LqadVw_IMenpEOctYRv8.jpg,316626,545705
유일라운지 카페,서울,서울특별시 마포구 성산동 134-126,0507-1411-9368,애견동반,"""애견동반 가능한곳 메뉴에 없는줄 알았던 차 있었네요ㅎㅎ ㅡㅡㅡㅡㅡ ...""",아메리카노 변동가격(업주문의),매일 07:00~23:00,https://yooillounge.modoo.at,성산동에 위치한 가성비좋은 맛있는 커피전문점 입니다.,https://ldb-phinf.pstatic.net/20171012_232/1507797358990uPniY_JPEG/-n1bcYoGRg2F8PSI-iDUUQns.jpg,304126,552285
