192 센티미터,경기,"""애견동반가능카페 주차가능."""
25디셈브리스,부산,"""숲속에있는 애견동반카페.힐링이 되는곳"""
38DEGREE,강원,"""무엇보다 애견동반으로 이렇게 예쁜카페 처음가봐요!!"""
AVE 1465,부산,"""애견동반 가능한 카페이며, 야외 테라스 좌석이 있습니다."""
cafe esther,전북,"""크로플 맛집 :) 아메 2,500원 착한가격. 애견동반가능."""
cafe858,충남,"""여긴 애견 동반 카페라고 하시면 안될듯.."""
CORDELIA,경남,"""야외테이블 애견동반이 가능하고 마창대교를 비롯한 마산앞바다 뷰가 멋지다."""
FLAT172,제주,"""음료 굉장히 저렴하고 맛있는데 강아지 동반 가능이라 더좋음"""
LISMORE,경남,"""애완견 동반이 된다고 들었어요^^♡"""
N109,제주,"""너무 예쁜 애견동반 카페입니다!!:-))"""
ONE BOTTLE,경기,"""애견동반 가능 생각보다 테이블이 적당"""
PLACE64,전북,"""카페뒤자리 애견동반가능해서 너무 좋아요"""
SS COFFEE,경남,"""애견 동반 가능한 정원, 맛있는 케이크."""
SURELY,대구,"""강아지 키우는데 애견 데리고 가기 좋은 분위기라 만족했어요~"""
간양길카페,충남,"""애견동반가능 주차도좋고 맛도 건강한맛"""
간절바당,울산,"""멋진곳이네요 한번쯤 방문하기에 좋아요 애견동반가능하니 참고"""
갈매기다방,강원,"""애견동반이라고 해서 일부러 찾아갔는데 외부만 가능해요 와플과 음료는 괜찮아요"""
게이트42,울산,"""분위기 좋으네여 애견동반가능이라 갔는데 애견동반 안된다고 바뀌었다고 합니다."""
경주 블리스커피,경북,"""경주 애견 동반 카페여서 찾아서 갔음."""
고복저택,세종,"""애견 동반 카페라 공간도 넓고 주차도 넉넉한데다 사람도 별로 없어서 좋음."""
고트,충북,"""밖에 앉아있어야 하는 경우도 있습니다 애견동반이지만 너무 큰개는 조심해야할 거 같네요."""
구름이머무는자리,전남,"""애견동반카페 미용전문샾입니다."""
구수리카페,전남,"""이제는 강진에 명소가 된것같네요 강아지미용과 동반이 가능한 카페에요"""
그랑시 앤 오감쌀롱,부산,"""일단 대형견도 동반이 되는 곳이라 제일 좋고요."""
그로서리이소,경남,"""인생카페까지는 아니었으나 애견동반가능카페 중 꽤 마음에 드는 카페였다."""
그루잠,강원,"""반려견은 케리어가 있어야 동반이 가능하고 별관으로 안내해 줍니다."""
그리너리웨딩 & 프롬더가든,충북,"""애견동반 가능이라는점이 가장 맘에 드네요."""
그린그라스,경기,"""분위기 좋아요 애견동반 가능해요"""
그림이있는방앗간,전남,"""야외 잔디밭 넓고 목줄하면 애견동반가능"""
글라스하우스,강원,"""강아지와 동반 가능하고 여유로운 분위기에요."""
까페돔바니,인천,"""인천 차이나타운 '돔바니'는 자유공원 아래길의 애견동반가능한 카페입니다"""
까페호반풍경,충북,"""다만 반려견동반은 야외만 가능해서 한 여름 낮에만 피해서 방문하시면 될 거 같네요"""
꼬깜카페,경북,"""외부 테라스 애견동반 가능하며 의자 불편하지 않습니다."""
꼰디오스,인천,"""강아지 동반도되고 너무좋아요 카라멜 마끼야또먹었는데 최곱니다~"""
꾸르커피,광주,"""애견도 동반되는거 같음"""
나마스테,전북,"""카페가 잘 꾸며져 있고 이쁜 고양이 강아지 그리고 음식, 음료도 맛있다."""
나바지오,강원,"""커피맛도 좋고 시설도 좋고 반려견도 동반할수 있어요"""
네이버후드,서울,"""1층에 한해서 애견동반도 가능하다고 한다."""
니즈커피,전남,"""오픈했을때부터 가고팠던 커피숍이였는데 마침 애견동반이 가능한 곳이네요"""
닥터찰스,광주,"""강아지 동반이라 좋고 햇살좋은 까페예요"""
단우물카페,강원,"""애견동반카페 검색해서 갔어여 주변이 조용하니 좋네요 쉬기도 좋았어여"""
달달이,경기,"""애견동반이라서 찾아가봤습니다."""
더 디퍼,대구,"""느낌있는 포토존이 한가득에 강아지 동반도 가능헤서 취향저격이었어요."""
더리트리브,제주,"""애견동반 가능한 카페 입니다."""
더플레이그라운드로스터리카페,대구,"""애견 동반 카페 조용하고."""
데미재,대전,"""강아지 동반이 되네요."""
데이오프나이트,광주,"""애견동반 가능한 한적한 카페."""
도펠하우스,충남,"""애견 동반 가능해서 애견인이 많은것같다."""
드레,강원,"""강아지 동반이 가능합니다."""
드르쿰다From제주,대전,"""전망은 좋으나 애견동반 카페여서인지 개냄새가 좀 나네요"""
디어밸리,대구,"""애견동반카페라서 강아지데리고 방문하였습니다"""
레몬일레븐,제주,"""애견동반가능카페라 편하게 아가랑 다녀왔어요^^"""
로즈드마이,서울,"""애견동반 가능한 카페이고 샌드위치가 엄청 빵빵합니다"""
롱디커피,충남,"""애견동반 가능.넓은 주차장.맛있는 빵.커피 원두가 맛있었습니다"""
리베볼,경북,"""3. 귀여운 댕댕이 세 마리가 반겨주기도 하지만, 애견동반도 가능!"""
리케리케,대전,"""1층은 애견동반이 가능하다 젊고 세련된 분위기의 카페."""
린치핀,인천,"""커피 맛있습니다 매장도 깔끔하고 직원분들도 친절하시고 애견동반이라 굿입니다"""
멍때리자,전북,"""날좋을때 간판 그대로 멍때리기 좋은 곳 허나 애견동반 하는 고객이 많고 날이 좀 더운 지금은 이용하기엔 힘들듯"""
메나쥬,경남,"""... 별관, 분수가 있는 야외정원, 미니 산책로가 있는 밀양 애견동반카페"""
메이킷 카페,서울,"""애견 동반 가능한 카페로 애견 용품도 팔고 애견 전용 음료도 있었어요."""
몽그레 제주공항점,제주,"""애견동반인데다 조용해서 너무 좋았습니다~"""
몽쥬이에,광주,"""옆에 계곡도 있고 야외자리가 많아요 애견동반 가능하고 좋아요"""
미스틱3도,제주,"""카페인데 엄청난 정원이있습니다.애견동반도 가능합니다"""
밀크레페,전남,"""예술적인(?) 공간이 많은 카페, 애견 동반 가능하며, 주차장이 넓습니다."""
바다정원,강원,"""경치좋고 애견동반 가능하고 빵도 맛나요"""
바잇미 신사점,서울,"""동물농장에도 나온만큼 상당히 유명한 강남의 애견동반카페."""
볕이드는곳벧디,제주,"""애견동반 가능해서 강추 강추 숲속힐링 느낌충만"""
보사노바 커피로스터스 삼척점,강원,"""1층에는 애견 동반하여 즐길 수 있는 공간이 있어 보기 좋았습니다."""
봄날,제주,"""뷰맛집.커피 맛집.말이 필요없곳.이동장에 넣으면 애견 동반도 가능해요."""
브라운피크닉,부산,"""강아지를 키우고 있다면 동반방문해서 꽤 만족도 높을수 있다."""
블랑주리,광주,"""... 오늘 애견과 동반 하였습니다"""
산동교카페,광주,"""애견동반카페로 편안하고 위치도 좋아요"""
서원안길,인천,"""집가까이 이런 애견동반카페라니 알았으니 자주가려구요."""
솔루나 카페&펍,제주,"""실내외 애견동반 가능해요~~~~~!"""
스윗유,인천,"""... 애견동반 할수있는 실외공간이 있어 좋아요"""
스태픽스,서울,"""반려견동반카페라 반려견과 같이 오실분들은 좋을것같습니다."""
슬로우무드,광주,"""조용하고 애견동반 가능이라 좋았어요"""
시선310 간절곶점,울산,"""브런치는 별로임.애견과 동반하기 좋아요"""
시크릿가든,경북,"""1인 1잔.. 애완견 동반되지만 실내 입장금지예요."""
쏠티캐빈,강원,"""반려견 동반 가능한 카페"""
아띠375,경기,"""야외테이블에 애견동반 가능 공간도있어요"""
아라커피,강원,"""애견동반 카페라고 해서 찾아갔다."""
아오라,경북,"""애견동반카페, 음식도 맛있습니다 ㅎㅎ"""
아트빈,충북,"""가족동반이나 연인 모두에게 좋은 장소. 넓은 장소"""
알티테라스,경북,"""애견동반 가능,3층까지의 넓은 가용공간 커피맛도 좋았다"""
애월더선셋,제주,"""뷰가 아름답습니다 애견동반가능"""
앤드테라스 내유점,경기,"""애견동반 카페 / 일반 카페 두군데로 나눠져있는 완전 큰 카페!!!"""
앵두나무카페,서울,"""애견동반 산책하기 좋은 곳"""
어라운드데이,서울,"""애견 동반 카페라 가끔 보이는 댕댕이들도 너무귀여워요 ㅎㅎ"""
어라이브,전북,"""강아지동반되고 좋아요ㅋ빵도맛나용ㅋ"""
어반플레이스,경기,"""애견동반가능한 야외라서 좋음"""
어웨일카페펍,경남,"""애견동반 가능 사진맛집 전망 좋고 예쁜 카페"""
어음분교1963,제주,"""아이들과 동반하면 사진찍기도 좋고 운동장과 놀이터에서 같이 놀기 좋아요"""
에클로그,충북,"""애견동반은 야외만 가능하니 참고하세요~"""
엘룬,부산,"""너무맛있어욯ㅎㅎ분위기도 좋고 애견동반하기도 좋음"""
엠블럭,경기,"""애견 동반 가능해요."""
엠비언트,경북,"""애견동반도 되고 너무좋았어요ㅎ"""
영글다,경기,"""가격이 비싸요 애견동반카페에요"""
오던,경북,"""애견동반 이용이 가능해서 개를 데리고 오시는 이용객도 많네요."""
오던,경북,"""넓게 탁트인 카페 애견 동반 실내 실외 가능"""
오후애,경북,"""애견 동반가능 하고 음료자체가 이쁘고 맛도 좋아요"""
온어스 ONUS,부산,"""나쁘지 않으나 동네사람 아니면 접근성은 안좋다 애견동반 가능하다"""
요새,경기,"""애견동반시 외부 테라스만 이용 가능함."""
요우르,제주,"""강아지 동반가능해요(케이지 or유모차)"""
우리들의공간커피&펍,세종,"""남한산성 광주방향으로 새로 오픈한 애견동반 가능한 카페(실내는 가방에)."""
원데이오프,전북,"""애견동반카페?라고 본거 같은데... 지뢰 조심하세요 :)"""
월든무인커피,경남,"""애견 동반이라 같이 데려갔어요."""
위드모데스티,대구,"""야외테이블,루푸탑은 애견동반가능 음료도 크로플도 맛있어요!"""
유알마인,강원,"""애견동반하시는 분들은 좋을거같아요."""
유일라운지 카페,서울,"""애견동반 가능한곳 메뉴에 없는줄 알았던 차 있었네요ㅎㅎ ㅡㅡㅡㅡㅡ ..."""
은율당,경남,"""분위기 좋아요 커피도 디저트도 맛있습니다 애견동반카페입니다"""
이너프,제주,"""잘 정돈되어있는 정원 애견동반이 가능하다."""
이이로 커피,경북,"""애견 동반카페 같이 갈수있는 장소가 있다는 것에 큰 점수..."""
인솔커피 상수점,서울,"""애견동반 가능. 베이커리 다양. 케이크 맛있음. 커피는 더맛있음."""
일다,광주,"""케익이 맛있고 개성있는 카페 애견동반 가능"""
자연충만,대구,"""실내는 안되지만 야외는 애견동반이 가능해서 좋아요."""
자티,전북,"""애견카페라서 손님들이 데려온 강아지들도 귀여워요"""
제이아일랜드,제주,"""인테리어도 이쁘고 애견동반도 가능하고, 너무 좋아요."""
차미라미,전북,"""애견동반이 가능하며, 직원분들도 친절하시고 카페 분위기도 좋다."""
카페 가드니아,제주,"""비오면 더 운치 있을 듯.. 애견 동반할 수 있어 좋았네요."""
카페 노트,인천,"""인천 문학동에 있는 보기드문 애견동반카페입니다."""
카페 담,경기,"""넓고 이쁜 카페 애견동반가능 근데 화장실이 진짜..."""
카페 더 큰나무 주안점,인천,"""인천 시내에 애견동반가능한 카페 중 단연 두드러지는 곳입니다."""
카페 루시올레,경남,"""... 정말 멋졌습니다 음료는 무난합니다 닭도 있고 애견동반이라 좋네요"""
카페 메이플,경북,"""강아지「동반」 카페 강아지 풀어놓으면 쫒겨남 꼭 안고있으세요"""
카페 명지,전남,"""애견동반가능 카페로 알고있습니다."""
카페 모안,경기,"""애견동반인데 분위기가 조용하고 좋았습니다 커피맛도좋구요~~"""
카페 수피아,울산,"""애견동반 가능한것도 좋은요소"""
카페 아리네,서울,"""1층은 애견동반 ㅎㅎ 브런치 30분 걸려 ㅋㅋ 맛은 나쁘지 않음"""
카페 휘바,경기,"""주위에 애견동반 공간도 따로있고 정숙한 노키즈죤도 있어 여러모로 좋았어요"""
카페0732,울산,"""애견동반 아님!!!!!!"""
카페On on,충북,"""돈까스와 버섯샐러드 맛있는 애견동반식당."""
카페공가,대구,"""애견동반 카페로는 최고의 조건."""
카페괘릉,경북,"""맛있고 사장님 넘 친절하시고~~애견동반시 별채 이용하는데 완전 좋아요!!!!"""
카페굴리엘모커피 송정공원역점,광주,"""애견동반 카페라 강아지 데리고 갔더니 강아지가 제일 신났어요."""
카페도즈오프,강원,"""드넓은 잔디밭에 댕댕이들이 뛰어노는 모습이 평화로와요 애견동반카페 중에서도 시설이 좋네요"""
카페돌체네,광주,"""빙수맛집인듯 ...젊은사장님이계시고 애견동반가능하다네요"""
카페드하리,충남,"""바닷가 옆에 애견동반 카페."""
카페루나,대전,"""브런치 메뉴가 다양하고 반려견동반 가능한 까페로 함께 여유롭게 식사할 수 있는 곳"""
카페마카,강원,"""커피 맛있고 가격도 괜챦고 실내 애견동반 가능합니다."""
카페모알보알 제주점,제주,"""내부 인테리어 독특함 C. 애견 동반 가능함 2. 단점."""
카페목천,충남,"""감성, 커피, 디저트, 애견동반, 친절, 맛 어느하나 놓치지 않은 카페"""
카페무네,서울,"""개, 고양이 동반 가능 화장실도 깨끗하고 정리정돈도 열심이다."""
카페무르,경기,"""애견동반으로 맛있는 커피와 멋진 경치를 구경할 수 있는 카페"""
카페벼리,울산,"""후회 하지 않음 애견 동반가능"""
카페비비,제주,"""친절한 사장님들과 착한 시바이누들 ㅎㅎ 반려견동반해서 사진찍기도 가능해요"""
카페산청요,경남,"""영유아 산책 겸 동반 가능 굿굿."""
카페스토리,서울,"""애견동반시 애견 운동장이 있어서 좋은데 사람이 앉을 자리는 불편함."""
카페스토리,경기,"""애견동반가능 너무좋아요"""
카페시은우,대전,"""애견동반 입장 가능하며 추운 겨울에도 야외에서 커피를 마실 수 있습니다."""
카페아띠랑,경남,"""친절하신 대표님, 예쁜 애견동반카페!"""
카페아리아,전남,"""애견 동반 가능한 분위기 좋은 카페!"""
카페아리아,전북,"""애견 동반 가능한 분위기 좋은 카페!"""
카페아리아,광주,"""애견 동반 가능한 분위기 좋은 카페!"""
카페알로라,인천,"""애견동반이 가능한 카페"""
카페용담,세종,"""애견동반 카페 그리고 세종 데이트코스로 완전 강추합니다!!!"""
카페월든,경북,"""애견 동반이라 같이 데려갔어요."""
카페유주,제주,"""베이커리가 참 맛있었으며, 애견 동반카페로 알려져있습니다."""
카페은린,울산,"""애견동반 가능한 카페네요"""
카페이소,울산,"""애견동반가능하나 1층 분리된 장소와 야외만 가능합니다"""
카페작금,전남,"""정말이뻐요 애견동반이라너무좋음 앞에 뛰어놀공간도있음 주말은 힘들수도"""
