노을공원,서울,"""강아지동반 산책 가능합니다 골프장을 산책하는기분입니다 하지만 진드기많아요"""
5.18기념공원,광주,"""강아지를 사랑하는분들이라면 정말 좋은 장소라고 생각합니다"""
5.18자유공원,광주,"""자녀와 동반 권유 합니다. 주변에 먹자골목도 있어서 좋습니다."""
APEC나루공원,부산,"""강아지랑 산책하기 좋음"""
가실성당,경북,"""구 사제관앞쪽에 큰강아지 2마리 있는데 가끔 짖습니다."""
가창체육공원,대구,"""강아지 산책시키러 주5회는 가는듯.. 좋아요"""
간절곶,울산,"""강아지와 함께 간절곶 방문!!"""
감악산 출렁다리,경기,"""신남~ 강아지하고 등산하기 좋은곳이네요~ 추천하고싶은곳입니다."""
감전야생화단지,부산,"""넓고 볼거리도 많고 나들이 오기좋고 강아지랑산책하기 좋아요"""
강릉쌍둥이동물농장,강원,"""아이들 강아지와 병아리랑 놀기는 아주좋아요."""
강아지숲,강원,"""강아지가 재밌게 잘 놀았어요!!!:)"""
강촌레일파크 경강레일바이크,강원,"""직원분 친절하시고.. 레일바이크 애견동반이 있어 좋았습니다"""
개화예술공원,충남,"""강아지가 너무 귀엽더라고요"""
갯골생태공원,경기,"""강아지랑 산책하기 좋았어요"""
거북공원,경남,"""강아지 산책하기 좋아요"""
경의선숲길,서울,"""강아지가 뛰어놀기 좋은곳같아요.비만 안왔으면 더 좋았을거같아요"""
경의선책거리,서울,"""한적하고 강아지 많고."""
경주월드,경북,"""김해에서 출발하면서 강아지를."""
경천대국민관광지,경북,"""강아지 산책하기 좋은곳 이네요."""
고강선사유적공원,경기,"""아이들이랑 강아지랑 산책하기 좋아요"""
고창고인돌박물관,전북,"""산책하기 좋아요 강아지들이 넘 많아서 약간 불편함"""
곡교천시민체육공원,충남,"""울 강아지랑 산책 자주 가는곳이예요"""
곤지암도자공원,광주,"""강아지와 산책이 가능하고 아기자기해서 재밌어요"""
공원해파랑,경북,"""정말 넓고 깨끗했어요 바다뷰도 속시원했구요 강아지랑 산책하기도 좋았어요"""
공지천유원지,강원,"""강아지와자전거도로와휴식 공간이좋왔습니다.와이파이고간이많았으면좋겠습니다"""
관룡사,경남,"""공기도 좋고 수님도 친절하시고 강아지""도솔""도 얌전하고 ㅎ"""
관아공원,충북,"""저녁때 강아지와 산책하기 좋아요."""
광교호수공원,경기,"""강아지 산책하기 좋아요 자연이 잘가꾸어져있어요"""
광동청정습지,광주,"""우리 강아지가 제일 좋아하는 산책길~~"""
광안해변공원,부산,"""강아지랑 산책하기 좋아요"""
광주사직공원전망타워,광주,"""밤공기 마시러 가보세요 강아지산책에 최고입니다"""
구갈레스피아,경기,"""강아지랑 산책오기 좋은 곳"""
구곡폭포,강원,"""시원해요 강아지도 함께 들어갈 수 있어서 더 좋아요"""
구송정 유원지,전북,"""강아지와 놀면서 쉴공간 찾았었는데 주변 경관이 좋네요"""
구암근린공원,서울,"""강아지 산책길도 좋다."""
구포무장애숲길(무장애탐방구간),부산,"""친구들과 우리 강아지와 무장애숲길~ 운수사~ 무장애숲주차장 이렇게 거닐었다"
그랜드유원지,경기,"""강아지 동반해서 아이들과 갔어요~ 비가 많이 오지 않아 다행이었네요"
금강신관공원,충남,"""강아지랑 산책하기좋고 공기도 좋아요"""
금오름,제주,"""어린 아이들, 강아지들과 함께 올라가시는 분들 많았어요."""
금은모래강변공원,경기,"""인적이드물어서 강아지 산책시키기 좋아요"""
김유정 문학촌,강원,"""강아지랑 주변 산책하기좋아요"""
김해연지공원,경남,"""강아지가 산책 하기 좋은곳"""
낙동강체육공원,경북,"""강아지랑 산책 하기 최고!"""
낙산공원,서울,"""강아지델구 산책하기 좋아요"""
낙안읍성민속마을,전남,"""강아지랑 같이 산책하면서 구경도 할수있어서 좋았어요"""
남산공원백범광장,서울,"""강아지출입가능해서 좋고 조경 예쁘고 깨끗함"""
남양주한강공원 삼패지구,경기,"""강아지 산책하기 너무 좋아요"""
남이섬,강원,"""애견동반 해서 힐링하기 딱 좋았어요~"""
남제골벽화마을,전남,"""강아지와 산책하기좋아요"""
