노을공원,서울,place,4.43,"""강아지동반 산책 가능합니다 골프장을 산책하는기분입니다 하지만 진드기많아요""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210603_9%2F1622690415970w6MGk_JPEG%2Fupload_0567e663d45e60fc729e2f471f6b9ed0.jpeg
5.18기념공원,광주,place,4.28,"""강아지를 사랑하는분들이라면 정말 좋은 장소라고 생각합니다""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210324_209%2F1616577715831n3e1D_JPEG%2Fupload_9eab2998edea101da00c541293824ba5.jpg
5.18자유공원,광주,place,,"""자녀와 동반 권유 합니다. 주변에 먹자골목도 있어서 좋습니다.""",
APEC나루공원,부산,place,4.32,"""강아지랑 산책하기 좋음""",
가실성당,경북,place,,"""구 사제관앞쪽에 큰강아지 2마리 있는데 가끔 짖습니다.""",
가창체육공원,대구,place,,"""강아지 산책시키러 주5회는 가는듯.. 좋아요""",
간절곶,울산,place,4.21,"""강아지와 함께 간절곶 방문!!""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20201120_17%2F16058483655698NszC_JPEG%2Fupload_af1c828e73e14bd00107259391ce368e.jpg
감악산 출렁다리,경기,place,4.23,"""신남~ 강아지하고 등산하기 좋은곳이네요~ 추천하고싶은곳입니다.""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA3MTZfMjk3%2FMDAxNjU3OTUwMzIzNDI2.YA1BgI55O-iGNsrY80Q3ySGWB5Mq_tqsN6TninjkLEcg.rhxtZdVtAu_XfTTzQsCeeQSDRatXUlPLOkmxCJ8CFK4g.JPEG%2Fupload_cce065237842510c31f03ce391a7b5f6.jpeg
감전야생화단지,부산,place,,"""넓고 볼거리도 많고 나들이 오기좋고 강아지랑산책하기 좋아요""",
강릉쌍둥이동물농장,강원,place,4.62,"""아이들 강아지와 병아리랑 놀기는 아주좋아요.""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20220730_182%2F1659188340314GBgas_JPEG%2Fimage.jpg
강아지숲,강원,place,4.29,"""강아지가 재밌게 잘 놀았어요!!!:)""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA2MDVfMjEx%2FMDAxNjU0NDQwODc3NTIx.iH4yLJqhQS845wcQQWXsZfRf-ntmaMiBnntPwoXkn0kg.Ae7ofgB18QJhDfIy35mcEW-95m5BuFtgT7YTIzzzjDMg.JPEG%2Fupload_604903403cc1345fdb8c24aed26b206a.jpg
강촌레일파크 경강레일바이크,강원,place,4.26,"""직원분 친절하시고.. 레일바이크 애견동반이 있어 좋았습니다""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA1MDJfMjUg%2FMDAxNjUxNDY0Njg3Mzcx.hrW-zAg6XUwX2RoNfSTJ2QvOxFfnfcAOEpgywHvaS4gg.D9lr5tsKciVnREL-50WMlAi3gnE3i9I4TjQxUc4rMrcg.JPEG%2Fupload_7812e51171eccd085a2ee0804a53e964.jpeg
개화예술공원,충남,place,4.27,"""강아지가 너무 귀엽더라고요""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA4MTRfNyAg%2FMDAxNjYwNDcwMDQwMTkz.62VTmwvFInx62X1FovEEnhKUoctAoC21B_ZosG9MAS0g.-w8iGPcgrCmpyNWoPld4nBmccbecy2ID796T3Z-BnQMg.JPEG%2Fupload_567b49c9fb776408d654e5ef12a81d2d.jpeg
갯골생태공원,경기,place,4.3,"""강아지랑 산책하기 좋았어요""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA3MjNfOTIg%2FMDAxNjU4NTcyNjEyNDM1.nuu2YVMEXmZyNoFKS8ap-55f0i4rG8HIA9L3egNN-jYg.xiu1dPfHLaT-YWoq3Qr318XNx2W-GvcteTuAURqY0jkg.JPEG%2Fupload_dcc556586043e6c7faaf76df46ac28d5.jpeg
거북공원,경남,place,4.67,"""강아지 산책하기 좋아요""",
경의선숲길,서울,place,,"""강아지가 뛰어놀기 좋은곳같아요.비만 안왔으면 더 좋았을거같아요""",
경의선책거리,서울,place,,"""한적하고 강아지 많고.""",
경주월드,경북,place,4.57,"""김해에서 출발하면서 강아지를.""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20220813_84%2F1660379711301xyTK6_JPEG%2Fimage.jpg
경천대국민관광지,경북,place,4.3,"""강아지 산책하기 좋은곳 이네요.""",
고강선사유적공원,경기,place,3.82,"""아이들이랑 강아지랑 산책하기 좋아요""",
