일곡동물병원,광주,571-9114,광주광역시 북구 일곡동 843-5번지,광주광역시 북구 양일로305번길 8 (일곡동),"평일 09:30 - 18:00 점심시간 12시30분 부터 1시30분까지입니다
토요일 09:30 - 16:00 일요일,공휴일 휴무
토요일 09:30 - 13:00 매달 마지막주 토요일은 1시까지 근무합니다"
24시청주나음동물메디컬,충북,-7016,"충청북도 청주시 상당구 용암동 1703 106,107, 108호","충청북도 청주시 상당구 1순환로 1233, 106,107, 108호 (용암동)",매일 00:00~24:00
노엘동물병원,경기,2477575,경기도 부천시 범박동 32-6 범박동 근린생활시설,"경기도 부천시 범안로 98, 범박동 근린생활시설 (범박동)","평일 10:00~19:00 18시 진료마감, 12~1시 점심시간 | 토요일 10:00~15:00 12~1시 점심시간 | 일요일 휴무 | 공휴일 휴무"
에코동물병원,전북,2517975,전라북도 전주시 덕진구 송천동2가 1311 에코시티 데시앙 4블럭,"전라북도 전주시 덕진구 세병로 41, B104호 (송천동2가, 에코시티 데시앙 4블럭)",평일 09:00~21:00 | 주말 09:00~18:00
나음동물병원,경기,3237581,경기도 부천시 중동 1141-1 무광오피스빌딩,"경기도 부천시 길주로 276, 무광오피스빌딩 (중동)",평일 10:00~18:30 점심시간: 13:00~ 14:00 | 토요일 10:00~18:00 | 일요일 휴무
가람동물병원,경기,3431397,경기도 부천시 괴안동 109-5 조양프라자,"경기도 부천시 경인로 494, 조양프라자 (괴안동)",평일 10:00~20:00 점심시간 13:00-14:00 | 공휴일 10:00~17:00 | 토요일 10:00~17:00
올리브동물병원,서울,3917502,서울특별시 종로구 홍지동 126-8번지,서울특별시 종로구 자하문로 305 (홍지동),평일 10:00~19:00 | 공휴일 10:00~18:00 | 토요일 10:00~18:00 | 일요일 휴무
대치성심동물병원,서울,5011139,서울특별시 강남구 대치동 623 69-1호,"서울특별시 강남구 남부순환로 2921, 1층 69-1호 (대치동)",평일 10:00~19:00 일요일 휴무 | 토요일 10:00~19:00 일요일 휴무
연희동물병원,인천,5614667,인천광역시 서구 심곡동 303-6,"인천광역시 서구 탁옥로74번길 16, 113호 (심곡동)",평일 09:30~18:00 접수시간17:00. 점심시간12:30~13:30 | 토요일 09:30~12:30 접수시간12:00 | 공휴일 09:30~12:30 접수시간12:00 | 화요일 휴무 | 일요일 휴무
다산마리동물병원,경기,5657553,"경기도 남양주시 다산동 6053번지 다산진건지구 상업2-7-1,2","경기도 남양주시 다산순환로 350, KB 골든타워 1층 110호 (다산동)","평일 10:00~20:00 7시반까지 진료접수 | 토요일 10:00~18:00 5시반까지 진료접수 | 공휴일 10:00~18:00 명절, 신정, 어린이날 휴무 | 일요일 휴무 | 매일 13:00~14:00 점심시간"
가나동물병원,경기,6650075,경기도 부천시 송내동 393-1,경기도 부천시 경인로 72 (송내동),"평일 10:00~19:00 점심시간 13:00-14:00 | 토요일 10:00~18:00 일요일, 공휴일 휴진"
이오동물병원,인천,7107553,인천광역시 서구 검암동 506-1번지 동곡프라자,"인천광역시 서구 승학로 551, 동곡프라자 108호 (검암동)",평일 10:30~20:00 | 공휴일 10:30~18:00 | 토요일 10:30~18:00 | 일요일 10:30~18:00 | 수요일 휴무 | 매일 13:00~14:00 점심시간
범어동물의료센터,대구,7167585,대구광역시 수성구 수성동3가 10,대구광역시 수성구 달구벌대로 2354 (수성동3가),매일 00:00~24:00 365일 24시간 연중무휴 진료
동현24시동물병원,광주,7687599,경기도 광주시 송정동 64-29번지 1층,"경기도 광주시 경안천로 5 (송정동,1층)",매일 09:00~22:00
